Event_ID,CATEGORY,Event_Group,SUBGROUP,Event_Type
1,Incident,Conflict,Terrorist,Shootings
2,Incident,Conflict,Terrorist,Kidnapping / Murder
3,Incident,Technology,Infrastructure failure,Manufacturing / Industry
4,Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm
5,Disaster,Natural,Meteorological - Hydrological,Wildfire
6,Disaster,Natural,Meteorological - Hydrological,Flood
7,Disaster,Natural,Meteorological - Hydrological,Wildfire
8,Disaster,Natural,Meteorological - Hydrological,Flood
9,Disaster,Natural,Meteorological - Hydrological,Flood
10,Incident,Technology,Fire,Residential
11,Disaster,Natural,Meteorological - Hydrological,Winter Storm
12,Incident,Technology,Transportation accident,Rail
13,Disaster,Natural,Meteorological - Hydrological,Flood
14,Disaster,Natural,Meteorological - Hydrological,Flood
15,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
16,Disaster,Natural,Meteorological - Hydrological,Flood
17,Disaster,Natural,Meteorological - Hydrological,Wildfire
18,Disaster,Natural,Meteorological - Hydrological,Wildfire
19,Disaster,Natural,Biological,Epidemic
20,Disaster,Natural,Meteorological - Hydrological,Wildfire
21,Disaster,Natural,Meteorological - Hydrological,Wildfire
22,Disaster,Natural,Meteorological - Hydrological,Wildfire
23,Disaster,Natural,Meteorological - Hydrological,Wildfire
24,Disaster,Natural,Meteorological - Hydrological,Flood
25,Disaster,Natural,Meteorological - Hydrological,Flood
26,Disaster,Natural,Meteorological - Hydrological,Wildfire
27,Disaster,Natural,Meteorological - Hydrological,Wildfire
28,Disaster,Natural,Meteorological - Hydrological,Flood
29,Incident,Technology,Transportation accident,Rail
30,Incident,Technology,Transportation accident,Air
31,Disaster,Natural,Meteorological - Hydrological,Flood
32,Disaster,Natural,Meteorological - Hydrological,Wildfire
33,Disaster,Natural,Meteorological - Hydrological,Flood
34,Incident,Conflict,Civil Incident,Rioting
35,Disaster,Natural,Meteorological - Hydrological,Wildfire
36,Disaster,Natural,Meteorological - Hydrological,Flood
37,Disaster,Natural,Meteorological - Hydrological,Wildfire
38,Disaster,Natural,Meteorological - Hydrological,Flood
39,Disaster,Natural,Meteorological - Hydrological,Flood
40,Disaster,Natural,Meteorological - Hydrological,Flood
41,Disaster,Natural,Meteorological - Hydrological,Flood
42,Disaster,Natural,Meteorological - Hydrological,Flood
43,Disaster,Natural,Meteorological - Hydrological,Winter Storm
44,Disaster,Natural,Meteorological - Hydrological,Flood
45,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
46,Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm
47,Disaster,Natural,Meteorological - Hydrological,Flood
48,Disaster,Natural,Meteorological - Hydrological,Wildfire
49,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
50,Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other
51,Disaster,Natural,Meteorological - Hydrological,Tornado
52,Disaster,Natural,Meteorological - Hydrological,Tornado
53,Disaster,Natural,Geological,Earthquake
54,Disaster,Natural,Meteorological - Hydrological,Wildfire
55,Disaster,Natural,Meteorological - Hydrological,Flood
56,Disaster,Natural,Meteorological - Hydrological,Tornado
57,Disaster,Natural,Meteorological - Hydrological,Flood
58,Disaster,Natural,Meteorological - Hydrological,Wildfire
59,Disaster,Natural,Meteorological - Hydrological,Wildfire
60,Disaster,Natural,Meteorological - Hydrological,Wildfire
61,Disaster,Natural,Biological,Epidemic
62,Disaster,Natural,Meteorological - Hydrological,Storm Surge
63,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
64,Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm
65,Disaster,Natural,Meteorological - Hydrological,Tornado
66,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
67,Disaster,Natural,Meteorological - Hydrological,Tornado
68,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
69,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
70,Disaster,Natural,Meteorological - Hydrological,Flood
71,Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other
72,Disaster,Natural,Meteorological - Hydrological,Flood
73,Disaster,Natural,Meteorological - Hydrological,Wildfire
74,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
75,Disaster,Natural,Meteorological - Hydrological,Flood
76,Disaster,Natural,Biological,Pandemic
77,Disaster,Natural,Meteorological - Hydrological,Flood
78,Disaster,Natural,Meteorological - Hydrological,Drought
79,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
80,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
81,Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm
82,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
83,Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm
84,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
85,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
86,Incident,Technology,Hazardous Chemicals,Fire
87,Incident,Technology,Explosion,Non-Residential
88,Disaster,Natural,Biological,Epidemic
89,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
90,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
91,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
92,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
93,Incident,Technology,Explosion,Residential
94,Disaster,Natural,Meteorological - Hydrological,Tornado
95,Disaster,Natural,Meteorological - Hydrological,Wildfire
96,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
97,Disaster,Natural,Meteorological - Hydrological,Wildfire
98,Disaster,Natural,Meteorological - Hydrological,Tornado
99,Disaster,Natural,Meteorological - Hydrological,Wildfire
100,Disaster,Natural,Meteorological - Hydrological,Wildfire
101,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
102,Disaster,Natural,Meteorological - Hydrological,Flood
103,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
104,Disaster,Natural,Meteorological - Hydrological,Flood
105,Disaster,Natural,Meteorological - Hydrological,Wildfire
106,Disaster,Natural,Meteorological - Hydrological,Flood
107,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
108,Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other
109,Disaster,Natural,Meteorological - Hydrological,Wildfire
110,Disaster,Natural,Meteorological - Hydrological,Flood
111,Disaster,Natural,Meteorological - Hydrological,Flood
112,Disaster,Natural,Meteorological - Hydrological,Flood
113,Disaster,Natural,Meteorological - Hydrological,Flood
114,Disaster,Natural,Meteorological - Hydrological,Flood
115,Disaster,Natural,Meteorological - Hydrological,Flood
116,Disaster,Natural,Meteorological - Hydrological,Flood
117,Disaster,Natural,Meteorological - Hydrological,Winter Storm
118,Disaster,Natural,Meteorological - Hydrological,Flood
119,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
120,Disaster,Natural,Meteorological - Hydrological,Winter Storm
121,Disaster,Natural,Meteorological - Hydrological,Winter Storm
122,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
123,Disaster,Natural,Meteorological - Hydrological,Flood
124,Disaster,Natural,Meteorological - Hydrological,Winter Storm
125,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
126,Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm
127,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
128,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
129,Disaster,Natural,Meteorological - Hydrological,Wildfire
130,Disaster,Natural,Meteorological - Hydrological,Wildfire
131,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
132,Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm
133,Incident,Technology,Fire,Residential
134,Disaster,Natural,Meteorological - Hydrological,Wildfire
135,Incident,Technology,Hazardous Chemicals,Leak / Spill Release
136,Disaster,Natural,Meteorological - Hydrological,Tornado
137,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
138,Disaster,Natural,Meteorological - Hydrological,Wildfire
139,Disaster,Natural,Meteorological - Hydrological,Flood
140,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
141,Incident,Technology,Fire,Non-Residential
142,Disaster,Natural,Meteorological - Hydrological,Wildfire
143,Incident,Technology,Fire,Non-Residential
144,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
145,Disaster,Natural,Meteorological - Hydrological,Wildfire
146,Incident,Technology,Hazardous Chemicals,Derailment Release
147,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
148,Disaster,Natural,Meteorological - Hydrological,Flood
149,Disaster,Natural,Geological,Landslide
150,Disaster,Natural,Meteorological - Hydrological,Flood
151,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
152,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
153,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
154,Disaster,Natural,Meteorological - Hydrological,Winter Storm
155,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
156,Disaster,Natural,Meteorological - Hydrological,Flood
157,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
158,Incident,Technology,Hazardous Chemicals,Fire
159,Incident,Technology,Hazardous Chemicals,Fire
160,Incident,Technology,Fire,Non-Residential
161,Disaster,Natural,Meteorological - Hydrological,Wildfire
162,Disaster,Natural,Meteorological - Hydrological,Wildfire
163,Disaster,Natural,Meteorological - Hydrological,Wildfire
164,Disaster,Natural,Meteorological - Hydrological,Wildfire
165,Disaster,Natural,Meteorological - Hydrological,Flood
166,Disaster,Natural,Meteorological - Hydrological,Flood
167,Disaster,Natural,Meteorological - Hydrological,Flood
168,Disaster,Natural,Meteorological - Hydrological,Flood
169,Disaster,Natural,Meteorological - Hydrological,Flood
170,Disaster,Natural,Meteorological - Hydrological,Storm Surge
171,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
172,Disaster,Natural,Meteorological - Hydrological,Wildfire
173,Disaster,Natural,Meteorological - Hydrological,Tornado
174,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
175,Disaster,Natural,Meteorological - Hydrological,Wildfire
176,Disaster,Natural,Meteorological - Hydrological,Flood
177,Disaster,Natural,Geological,Landslide
178,Disaster,Natural,Meteorological - Hydrological,Tornado
179,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms
180,Disaster,Natural,Geological,Landslide
181,Disaster,Natural,Meteorological - Hydrological,Flood
182,Disaster,Natural,Meteorological - Hydrological,Flood
183,Disaster,Natural,Meteorological - Hydrological,Flood
184,Incident,Technology,Transportation accident,Rail
185,Incident,Technology,Infrastructure failure,Water
186,Incident,Technology,Hazardous Chemicals,Leak / Spill Release
187,Disaster,Natural,Meteorological - Hydrological,Wildfire
188,Disaster,Natural,Meteorological - Hydrological,Wildfire
189,Disaster,Natural,Meteorological - Hydrological,Wildfire
190,Disaster,Natural,Meteorological - Hydrological,Wildfire
191,Disaster,Natural,Meteorological - Hydrological,Wildfire
